id,domain,idea,research_question,minimum_evidence
IDEA-001,Agent RSI,可验证的 Skill 变异搜索,Agent 能否在受控预算下修改单一 Skill，并用锁定任务集证明真实改进？,开发/确认拆分；谱系；无 fallback；等成本基线
IDEA-002,Agent RSI,自我改进中的 oracle sensitivity,怎样在评估 learned child 前证明任务对可表示的改进足够敏感？,no-op；有限 oracle；完整 oracle；门槛预注册
IDEA-003,Agent Systems,跨会话状态压缩,什么状态摘要能在最小 token 下保持长期任务可恢复性？,信息保留；任务成功；恢复时间；隐私
IDEA-004,Agent Systems,Skill 选择校准,Agent 何时应调用 Skill、工具、人工或直接回答？,选择准确率；不必要权限；成本；错误严重度
IDEA-005,Agent Systems,失败可恢复工作流,检查点、幂等与补偿事务如何降低 Agent 长任务灾难性失败？,故障注入；恢复率；重复副作用
IDEA-006,Agent Evaluation,真实系统影响评测,如何把文本正确性与数据库、邮件、支付等真实副作用分层评估？,preview；dry-run；状态 diff；人工确认
IDEA-007,Agent Safety,外部内容提示注入隔离,怎样证明网页、PDF 和仓库文本不能修改 Agent 的高层政策？,攻击集；数据/指令分离；权限拒绝
IDEA-008,Agent Safety,Skill 供应链风险评分,能否从权限、依赖、安装脚本和维护状态预测高风险 Skill？,静态扫描；人工审计；误报漏报
IDEA-009,Small Models,Agent 指导的小网络调试,强 Agent 能否迭代数据、结构和损失，持续提升小网络而不泄漏确认集？,谱系；预算；锁定确认；反过拟合
IDEA-010,Small Models,小模型发现—Skill 回流,小模型的新模式怎样被验证并沉淀为 Agent 可复用 Skill？,发现证据；复现；触发条件；失效条件
IDEA-011,Spatial Omics,跨切片稳定空间身份,如何同时保留跨切片对应身份、真实重塑和连续边界？,ARI/NMI；组织学；拓扑；不确定性
IDEA-012,Spatial Omics,模糊边界校准,空间域边界不确定性是否对应真实过渡区而非模型犹豫？,标志梯度；组织学；扰动；校准
IDEA-013,Spatial Omics,三维拓扑保持,跨切片表示如何保留组织层级、邻接和连续轨迹？,拓扑指标；3D 重建；切片缺失压力测试
IDEA-014,Spatial Omics,病理稀疏标注传播,只标注首张切片时，如何可信地评估后续切片的空间身份？,H&E；盲病理复核；不确定性；外部队列
IDEA-015,Multi-omics,组学缺失模态鲁棒性,多组学模型在部分模态缺失时能否保留可解释结论？,缺失机制；模态消融；校准；公平性
