id,name,publisher,category,description,url,origin_repository,source_type,record_type,install_status,verification_status,listing_source,source_commit,indexed_at
skill-adef8a03e94d,microsoft/azure-ai-document-intelligence-dotnet,microsoft,.NET Skills,"Document text, table, and data extraction",https://officialskills.sh/microsoft/skills/azure-ai-document-intelligence-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-a3ad58865b93,microsoft/azure-ai-openai-dotnet,microsoft,.NET Skills,"GPT-4, embeddings, DALL-E, and Whisper client",https://officialskills.sh/microsoft/skills/azure-ai-openai-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-10a4bb080c98,microsoft/azure-ai-projects-dotnet,microsoft,.NET Skills,AI Foundry project management SDK,https://officialskills.sh/microsoft/skills/azure-ai-projects-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-9070d79464a8,microsoft/azure-ai-voicelive-dotnet,microsoft,.NET Skills,Real-time bidirectional voice AI,https://officialskills.sh/microsoft/skills/azure-ai-voicelive-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-26ed4e71a51e,microsoft/azure-eventgrid-dotnet,microsoft,.NET Skills,Event Grid topic and domain publishing,https://officialskills.sh/microsoft/skills/azure-eventgrid-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-2061fdac8332,microsoft/azure-eventhub-dotnet,microsoft,.NET Skills,High-throughput event streaming,https://officialskills.sh/microsoft/skills/azure-eventhub-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-07328ba0a968,microsoft/azure-identity-dotnet,microsoft,.NET Skills,Microsoft Entra ID authentication,https://officialskills.sh/microsoft/skills/azure-identity-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-3380902eac6a,microsoft/azure-maps-search-dotnet,microsoft,.NET Skills,"Geocoding, routing, and weather services",https://officialskills.sh/microsoft/skills/azure-maps-search-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-17d858c674ee,microsoft/azure-mgmt-apicenter-dotnet,microsoft,.NET Skills,API inventory and governance,https://officialskills.sh/microsoft/skills/azure-mgmt-apicenter-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-ab05790ab374,microsoft/azure-mgmt-apimanagement-dotnet,microsoft,.NET Skills,API Management provisioning via ARM,https://officialskills.sh/microsoft/skills/azure-mgmt-apimanagement-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-d682d291a249,microsoft/azure-mgmt-applicationinsights-dotnet,microsoft,.NET Skills,Application Insights resource management,https://officialskills.sh/microsoft/skills/azure-mgmt-applicationinsights-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-273ea8cc9da2,microsoft/azure-mgmt-arizeaiobservabilityeval-dotnet,microsoft,.NET Skills,Arize AI observability management,https://officialskills.sh/microsoft/skills/azure-mgmt-arizeaiobservabilityeval-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-982c1c9c6ca5,microsoft/azure-mgmt-botservice-dotnet,microsoft,.NET Skills,Bot Service provisioning via ARM,https://officialskills.sh/microsoft/skills/azure-mgmt-botservice-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-87fab5040957,microsoft/azure-mgmt-fabric-dotnet,microsoft,.NET Skills,Microsoft Fabric capacity management,https://officialskills.sh/microsoft/skills/azure-mgmt-fabric-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-fe1c8348f4ae,microsoft/azure-mgmt-mongodbatlas-dotnet,microsoft,.NET Skills,MongoDB Atlas as ARM resources,https://officialskills.sh/microsoft/skills/azure-mgmt-mongodbatlas-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-98ccf77c6448,microsoft/azure-mgmt-weightsandbiases-dotnet,microsoft,.NET Skills,Weights & Biases deployment management,https://officialskills.sh/microsoft/skills/azure-mgmt-weightsandbiases-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-e454ab77d3ac,microsoft/azure-resource-manager-cosmosdb-dotnet,microsoft,.NET Skills,Cosmos DB resource provisioning,https://officialskills.sh/microsoft/skills/azure-resource-manager-cosmosdb-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-9a5a9ef933bb,microsoft/azure-resource-manager-durabletask-dotnet,microsoft,.NET Skills,Durable Task Scheduler management,https://officialskills.sh/microsoft/skills/azure-resource-manager-durabletask-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
